Group,Variable label,Variable,Type,Description
,Age upper,age_R,number,Upper bound of age group (round months to 2 decimal places if provided)
"Additional details, if applicable",Median age,median_age,number,"median age, if reported"
,Mean age,mean_age,number,"mean age, if reported"
,Proportion under 5,prop_5,number,"proportion of sample under 5 years of age, if reported"
,Proportion under 15,prop_15,number,"proportion of sample under 15 years of age, if reported"
,Proportion female,prop_female,number,proportion of group that is female
,Proportion vaccinated,prop_vaccinated,number,"proportion that were vaccinated, if reported"
,Proportion on antibiotics,prop_antibiotics,number ,"proportion that received antibiotics in the two weeks prior to enrollment, if reported"
,Prop severely dehydrated,prop_severe_dehyd,number,"proportion that were severely dehydrated (as defined in the study), if reported"
,Prop moderately dehydrated,prop_mod_dehyd,number,"proportion that were moderately dehydrated (as defined in the study), if reported"
,Test entries overlap,entries_overlap,1/0,"Flag for data that had to be entered in duplicate (for example, each test result is stratified by either age or time period but not both)"
,Overlapping study,study_overlap,number,"Add study number where the sample overlaps with the sample in this study (but different information is provided by each study, so we want to extract both); include description of overlap in the comments"
,Comments,comments,text (free form),"Any additional comments pertaining to the data entry, including any additional stratifications available in the study, and whether additional incidence or outbreak information is available"
Extractor,Extractor initials,extractor,text,Initials of the person who performed the extraction
Datasets,Primary dataset,primary,1/0,Whether or not to include in the main dataset used to estimate percent positive. Criteria detailed here: https://docs.google.com/document/d/1yZDBO5omkPESaFjlgzaribjpRvje2K5GglKyFe6XD5Q/edit?usp=sharing
,Stratified phase or month,strat_phase,1/0,Flag for data stratified by month or phase/wave of the epidemic (regardless of inclusion in primary dataset)
,Stratified year,strat_year,1/0,Flag for data stratified by year (regardless of inclusion in primary dataset)
,Stratified test,strat_test,1/0,Flag for data stratified by diagnostic test (regardless of inclusion in primary dataset)
,Stratified location,strat_loc,1/0,Flag for data stratified by sub-national location (regardless of inclusion in primary dataset)
,Stratified age,strat_age,1/0,Flag for data stratified by any age group (regardless of inclusion in primary dataset)
,Stratified sex,strat_sex,1/0,Flag for data stratified by male/female (regardless of inclusion in primary dataset)
,Stratified antibiotics,strat_ab,1/0,Flag for data stratified by treatment with antibiotics (regardless of inclusion in primary dataset)
,Stratified dehydration,strat_dehyd,1/0,Flag for data stratified by dehydration status or need for IV fluids (regardless of inclusion in primary dataset)
Checks,Overlaps checked,check_overlap,1,Overlaps between study_ids and entry_ids checked
,Overlap decision,decision,text (free form),"If a decision had to be made between overlapping dataset, what the decision was and why. If no decision was needed, N/A"
,Check stratifications,check_strata,1,"Check whether all the possible stratifications of the study have been extracted. If checked and all have been extracted, enter 1."
,Check data,check_data,1,"Check whether the number of tested samples and number of the positive samples are entered correctly. If checked and all correct, enter 1."
,Check sampling approach,check_sampling,1,"Check and correct the sampling strategy column, if checked and corrected, enter 1."
